"['제6조 (임시위탁)\n을 은 다음 각 호의  갑 의 요청이 있는 경우, 연간 3회에 한하여 월 20일을 초과하여 이용할 수 있다.\n1. 가족 등의 외유․외출, 집안 경조사 등 갑작스러운 사정으로 인해 수급자를 돌볼 수 없는 경우']",1
['제3조(위탁의 방법 등) \n② 회사는 고객이 제1항의 방법으로 거래를 위탁하고자 하는 경우 고객본인임을 확인하여 위탁 거래를 진행하여야 한다.'],1
"['제7조 (출산 예정일의 변동 등)\n② 제1항에도 불구하고 이용자는 사업자와 협의하여 산후조리원내 대기실 혹은 협력 병원의 입원실 등을 대체 이용할 경우, 계약기간은 대체 이용한 당일부터 기산됩니다.']",1
['제6조(서비스 개시)\n서비스별 이용개시는 다음과 같습니다. (개정 2018.4.30. 2019.8.28.)\n인터넷뱅킹 등\n가. 신청일 포함 3영업일 이내에 자금이체비밀번호를 등록\n나. 신청일 포함 3영업일 이내에 이용매체를 통해 전자인증서를 발급(타기관인증서 등록 포함)'],1
"['제13조(위약금) \n잔여계약기간이 남은 상태에서의 중도해지 시 갑은 잔여계약기간 렌탈 요금의 15퍼센트이상을 위약금으로 지급하여야 하며, 이 경우 조기 회수로 인하여 발생하는 운송비와 철거비용 등은 갑이 부담한다. 단, 위약금의 금액과 범위에 대하여는 갑과 을이 사전협의한 규정이 있으면 이에 의한다.']",1
['제5조(자기판단과 책임에 의한 거래)\n고객은 해외파생상품거래에 따르는 위험을 사전에 충분히 알고 자기의 판단과 책임으로 거래하여야 합니다.'],1
"['제7조(대부업자의 통지의무 등)\n① 대부업자는 채무자가 원본, 이자 그 밖의 채무를 7개월 이상 이행하지 아니하는 경우 또는 채무자가 이행기에 이행할 수 없음을 미리 안 경우에는 지체없이 보증인에게 그 사실을 알려야 한다.']",1
"['제 15 조(포인트 및 기타 서비스) \n회사 및 제휴사는 각자 운영하는 몰에서 정한 정책에 따라, 회원이 적립 및 사용할 수 있는 뷰티포인트 외 전용 포인트(이하 기타 포인트) 서비스를 3년 6개월 동안 운영할 수 있습니다.']",1
['제6조(계약금)\n사업자는 계약서를 고객에게 교부할 때 계약금으로 운임 등의 합계액의 10퍼센트에 해당하는 금액을 청구할 수 있습니다.'],1
"['제17조(최저행사인원 미 충족시 계약해제)\n② 여행사가 여행참가자 수 미달로 전항의 기일내 통지를 하지 아니하고 계약을 해제하는 경우 이미 지급받은 계약금 환급 외에 다음 각 목의 1의 금액을 여행자에게 배상하여야 합니다.\n가. 여행출발 1일전까지 통지시, 여행요금의 30퍼센트']",1
['제11조(여행요금의 변경)\n① 국외여행을 실시함에 있어서 이용운송․숙박기관에 지급하여야 할 요금이 계약체결시보다 7퍼센트이상 증감하거나 여행요금에 적용된 외화환율이 계약체결시보다 5퍼센트 이상 증감한 경우 여행사 또는 여행자는 그 증감된 금액 범위 내에서 여행요금의 증감을 상대방에게 청구할 수 있습니다. '],1
"['제15조 (계약의 해지) \n① 회사는 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우 회사가 고객에게 45일 이상의 기간을 부여하고 시정조치를 요구하였음에도 고객이 적절한 조치를 취하지 아니한 경우 계약을 해지할 수 있다. 다만, 고객의 계약 위반내용이 시정이 명백히 불가능하거나 위반의 정도가 중하여 계약 목적을 달성할 수 없는 정도에 이른 때에는 즉시 계약을 해지할 수 있다.']",1
"['제4조의2(대출계약 철회)\n② 제1항에도 불구하고 다음의 각 호에 해당하는 경우, 대출계약을 철회할 수 없습니다.\n3. 외부기관 위탁대출 및 기타 협약대출(다만 000 유동화 대상 대출 등 은행이 별도로 정하는 대출은 제외)']",1
"['제15조(청약철회 등)\n④ 이용자는 제1항 및 제2항의 규정에 불구하고 재화 등의 내용이 표시,광고 내용과 다르거나 계약내용과 다르게 이행된 때에는 당해 재화 등을 공급받은 날부터 7월 이내 그 사실을 안 날 또는 알 수 있었던 날부터 70일 이내에 청약철회 등을 할 수 있습니다.']",1
['제10조(운송물의 수탁거절)\n사업자는 다음 각 호의 경우에 운송물의 수탁을 거절할 수 있습니다. \n1. 고객이 운송장에 필요한 사항을 기재하지 아니한 경우 '],1
